Região,Município,CodMuns,Estado,Média Cob Vac,Média At Pr,Média Plano,IDHm,Média Var CobVac,Média Var At Pr,Média Var Plano,gini,IDHm_renda,Tipo_Urb,pop_area,Média_pop,Média_pop0a4,Média_pct_pop0a4,area_km2,Densidade,pct_san_adeq,média_familias_bf,média_pct_ben_bf
Nordeste,Vieirópolis,251720,Paraíba,87.9293494,100.0,0.2360874,0.571,-0.0070538,0.0,-0.0539225,0.4526,0.537,Rural,36.5198711063373,5253.0,331.0,0.0630267,147.098,35.71,0.0182737,850.0,0.647382
Nordeste,Vista Serrana,250550,Paraíba,82.3778406,99.2918182,0.4367506,0.566,-0.0121076,8.43e-05,0.1801328,0.4755,0.554,Rural,63.3217420102666,3697.0,273.0,0.07382,60.39,61.21,0.3430168,547.0,0.5922174
Nordeste,Zabelê,251740,Paraíba,93.9393939,100.0,0.5927851,0.623,0.0977381,0.0,0.0584108,0.4361,0.567,Rural,21.1120577468613,2182.0,176.0,0.0808759,106.811,20.43,0.5018904,362.0,0.6646283
Nordeste,Abreu e Lima,260005,Pernambuco,91.4906053,95.1709091,15.847654,0.679,-0.0638999,-0.0026095,0.0404859,0.4676,0.625,Urban,794.008735282947,98501.0,6660.0,0.0676517,126.384,779.38,0.4349352,13705.0,0.5558292
Nordeste,Afogados da Ingazeira,260010,Pernambuco,93.8083278,94.0581818,2.6902909,0.657,0.0047443,0.0285084,0.0040619,0.5762,0.623,Urban,99.0320257561637,36661.0,2817.0,0.0768755,377.696,97.07,0.6925048,5334.0,0.5823835
Nordeste,Afrânio,260020,Pernambuco,88.8901108,93.9527273,2.4038288,0.588,0.0150822,0.0269892,0.03564,0.5333,0.542,Rural,13.2900038508138,18912.0,1669.0,0.0883344,1490.594,12.69,0.2364546,3640.0,0.766923
Nordeste,Agrestina,260030,Pernambuco,94.5419002,100.0,2.8218496,0.592,-0.0336007,0.0,0.0145378,0.5072,0.581,Semi-Urban,125.094201198788,24145.0,1844.0,0.0764161,200.369,120.5,0.6614668,3979.0,0.6589265
Nordeste,Água Preta,260040,Pernambuco,90.3808939,100.0,0.6624335,0.553,-0.0234608,0.0,-0.0368896,0.503,0.514,Semi-Urban,69.5289238223096,35489.0,3129.0,0.0882202,533.332,66.54,0.3888495,5384.0,0.6091638
Nordeste,Águas Belas,260050,Pernambuco,87.582318,88.4390909,1.6270077,0.526,0.0402659,0.1448507,-0.0060791,0.5922,0.546,Semi-Urban,49.3076655665765,42441.0,4414.0,0.1040591,885.988,47.9,0.2825115,8155.0,0.7669075
Nordeste,Alagoinha,260060,Pernambuco,97.1397859,100.0,1.8755568,0.599,0.0107418,0.0,-0.0023109,0.4997,0.569,Rural,67.9965997080184,14300.0,1173.0,0.0821174,216.452,66.07,0.4749892,2475.0,0.6918927
Nordeste,Aliança,260070,Pernambuco,88.2640053,95.0,1.3565819,0.604,0.009603,0.0028634,0.1185829,0.5148,0.565,Semi-Urban,140.765398334879,38342.0,2992.0,0.0780336,272.773,140.56,0.5446258,6331.0,0.6604171
Nordeste,Altinho,260080,Pernambuco,90.8685079,100.0,3.086017,0.598,-0.0102515,0.0,0.0165089,0.521,0.559,Semi-Urban,51.0553603241385,22921.0,1525.0,0.0665295,450.178,50.91,0.5118568,3954.0,0.6898527
Nordeste,Amaraji,260090,Pernambuco,95.2418727,100.0,2.0711831,0.58,0.0144096,0.0,-0.0361093,0.503,0.575,Urban,97.3373738061595,22662.0,1959.0,0.0864595,234.956,96.45,0.4948104,3580.0,0.6321529
Nordeste,Angelim,260100,Pernambuco,90.1108166,100.0,2.9719367,0.572,0.0260385,0.0,0.0192269,0.5898,0.555,Rural,95.1057719189746,10836.0,902.0,0.0832468,118.037,91.8,0.5346297,1979.0,0.7298673
Nordeste,Araçoiaba,260105,Pernambuco,91.1428622,100.0,2.2517745,0.592,-0.014834,0.0,-0.0931165,0.4599,0.544,Urban,215.161892901619,19666.0,1711.0,0.0871363,96.36,204.09,0.0901604,3257.0,0.660566
Nordeste,Araripina,260110,Pernambuco,91.713828,67.8363636,2.1346062,0.602,0.0114599,0.0372868,0.0124782,0.5653,0.595,Semi-Urban,41.6532099338665,82581.0,8006.0,0.09701,2037.394,40.53,0.4383676,14096.0,0.6820141
