regiao_geo,estado,codmun,nomemun,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Centro-Oeste,Goiás,520995,Indiara,100.00000,100.00000,100.00000,61.57407,100.00000,29.61373,66.80000,56.40000,83.26180,81.25000,87.50000
Centro-Oeste,Goiás,521000,Inhumas,89.59276,97.43590,100.00000,78.21918,100.00000,60.05917,47.78887,63.90870,84.21053,95.72901,78.49779
Centro-Oeste,Goiás,521010,Ipameri,100.00000,100.00000,94.32177,100.00000,100.00000,100.00000,96.81529,83.43949,80.64516,75.93123,80.22923
Centro-Oeste,Goiás,521015,Ipiranga de Goiás,75.75758,100.00000,96.96970,100.00000,84.00000,100.00000,100.00000,86.20690,74.19355,91.30435,100.00000
Centro-Oeste,Goiás,521020,Iporá,100.00000,100.00000,98.60724,100.00000,69.28934,91.47287,97.27047,100.00000,82.35294,80.18018,84.00901
Centro-Oeste,Goiás,521030,Israelândia,69.56522,100.00000,95.65217,100.00000,76.92308,100.00000,88.00000,96.00000,100.00000,46.15385,92.30769
Centro-Oeste,Goiás,521040,Itaberaí,100.00000,100.00000,100.00000,80.48327,53.48399,100.00000,96.37405,100.00000,94.21338,88.09524,67.51701
Centro-Oeste,Goiás,521056,Itaguari,83.92857,100.00000,98.21429,100.00000,100.00000,100.00000,100.00000,100.00000,98.30508,79.72973,68.91892
Centro-Oeste,Goiás,521060,Itaguaru,100.00000,100.00000,100.00000,100.00000,89.13043,100.00000,96.15385,100.00000,100.00000,77.77778,100.00000
Centro-Oeste,Goiás,521080,Itajá,100.00000,100.00000,100.00000,78.48101,82.89474,75.00000,100.00000,77.27273,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,521090,Itapaci,92.94872,81.08974,82.05128,100.00000,100.00000,88.29431,84.63950,80.25078,100.00000,83.86076,66.13924
Centro-Oeste,Goiás,521100,Itapirapuã,91.66667,87.50000,90.62500,74.25743,100.00000,93.18182,72.09302,100.00000,65.83333,42.01681,28.57143
Centro-Oeste,Goiás,521120,Itapuranga,100.00000,100.00000,100.00000,100.00000,84.00000,97.06840,74.02985,90.74627,89.26554,91.71598,56.80473
Centro-Oeste,Goiás,521130,Itarumã,87.50000,58.33333,71.87500,100.00000,100.00000,100.00000,72.38095,56.19048,72.63158,100.00000,100.00000
Centro-Oeste,Goiás,521140,Itauçu,100.00000,100.00000,92.10526,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,93.42105
Centro-Oeste,Goiás,521150,Itumbiara,100.00000,99.15515,95.00768,100.00000,85.91760,59.21540,60.91476,77.13098,97.54335,77.20386,70.11019
Centro-Oeste,Goiás,521160,Ivolândia,86.95652,100.00000,100.00000,100.00000,50.00000,80.00000,100.00000,80.00000,70.37037,86.66667,100.00000
Centro-Oeste,Goiás,521170,Jandaia,84.81013,88.60759,70.88608,100.00000,79.16667,100.00000,82.81250,100.00000,91.78082,90.54054,87.83784
Centro-Oeste,Goiás,521180,Jaraguá,100.00000,88.85135,91.38514,91.03215,94.23394,94.35626,69.23077,81.21302,83.36252,79.34596,65.40448
Centro-Oeste,Goiás,521190,Jataí,100.00000,95.47511,82.42836,100.00000,100.00000,98.07053,77.54011,87.63369,91.19454,86.06667,78.60000
Centro-Oeste,Goiás,521200,Jaupaci,100.00000,100.00000,100.00000,100.00000,73.80952,100.00000,100.00000,74.28571,100.00000,100.00000,76.47059
Centro-Oeste,Goiás,521210,Joviânia,80.20833,100.00000,95.83333,93.87755,87.35632,91.56627,78.04878,84.14634,100.00000,57.84314,98.03922
Centro-Oeste,Goiás,521220,Jussara,90.08621,85.16129,70.64516,100.00000,100.00000,90.78947,64.00000,89.33333,100.00000,86.27451,83.82353
Centro-Oeste,Goiás,521225,Lagoa Santa,100.00000,100.00000,100.00000,84.21053,100.00000,100.00000,100.00000,100.00000,50.00000,66.66667,100.00000
Centro-Oeste,Goiás,521230,Leopoldo de Bulhões,91.02564,82.05128,91.02564,100.00000,82.10526,100.00000,57.42574,71.28713,100.00000,96.84211,100.00000
Centro-Oeste,Goiás,521250,Luziânia,100.00000,100.00000,84.36131,100.00000,100.00000,73.40694,65.18592,77.16354,78.49277,77.24252,83.25581
Centro-Oeste,Goiás,521260,Mairipotaba,100.00000,100.00000,100.00000,100.00000,86.36364,100.00000,96.00000,100.00000,100.00000,63.33333,83.33333
Centro-Oeste,Goiás,521270,Mambaí,100.00000,94.62366,100.00000,100.00000,100.00000,100.00000,88.49558,100.00000,92.03540,100.00000,100.00000
Centro-Oeste,Goiás,521280,Mara Rosa,93.89313,95.41985,93.89313,80.85106,100.00000,100.00000,83.07692,80.76923,100.00000,100.00000,86.40000
Centro-Oeste,Goiás,521290,Marzagão,100.00000,100.00000,100.00000,100.00000,97.05882,96.87500,100.00000,100.00000,88.23529,92.10526,84.21053
Centro-Oeste,Goiás,521295,Matrinchã,96.00000,100.00000,98.00000,91.52542,66.66667,36.20690,100.00000,100.00000,100.00000,95.55556,100.00000
Centro-Oeste,Goiás,521300,Maurilândia,90.36697,99.54128,94.03670,100.00000,64.01869,65.07937,67.17172,51.51515,77.77778,88.59060,97.98658
Centro-Oeste,Goiás,521305,Mimoso de Goiás,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,95.45455,100.00000,100.00000
Centro-Oeste,Goiás,521308,Minaçu,75.10288,83.95062,100.00000,100.00000,100.00000,100.00000,74.61024,76.61470,72.58065,75.40603,65.19722
Centro-Oeste,Goiás,521310,Mineiros,99.88010,100.00000,94.84412,100.00000,100.00000,98.75598,75.40250,72.71914,79.62128,73.08010,70.27250
Centro-Oeste,Goiás,521340,Moiporá,88.23529,76.47059,58.82353,100.00000,84.61538,100.00000,100.00000,50.00000,20.00000,100.00000,100.00000
Centro-Oeste,Goiás,521350,Monte Alegre de Goiás,71.42857,77.14286,68.57143,62.96296,85.84906,88.88889,74.19355,60.48387,87.82609,100.00000,58.24176
Centro-Oeste,Goiás,521370,Montes Claros de Goiás,100.00000,100.00000,100.00000,100.00000,90.52632,100.00000,100.00000,92.63158,100.00000,83.47826,78.26087
Centro-Oeste,Goiás,521375,Montividiu,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,69.89796,98.97959,100.00000,90.41916,74.25150
Centro-Oeste,Goiás,521377,Montividiu do Norte,82.35294,100.00000,100.00000,84.09091,100.00000,80.48780,100.00000,100.00000,97.36842,100.00000,59.45946
Centro-Oeste,Goiás,521380,Morrinhos,89.10134,100.00000,100.00000,100.00000,100.00000,99.68652,100.00000,100.00000,100.00000,100.00000,87.61905
Centro-Oeste,Goiás,521385,Morro Agudo de Goiás,86.36364,100.00000,100.00000,100.00000,100.00000,53.33333,100.00000,100.00000,77.77778,100.00000,100.00000
Centro-Oeste,Goiás,521390,Mossâmedes,94.87179,100.00000,100.00000,100.00000,70.45455,100.00000,100.00000,86.66667,94.91525,80.43478,78.26087
Centro-Oeste,Goiás,521400,Mozarlândia,100.00000,92.68293,100.00000,100.00000,85.04673,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,521405,Mundo Novo,75.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,93.58108,86.58147,95.59322,78.30508
Centro-Oeste,Goiás,521410,Mutunópolis,71.73913,73.91304,89.13043,75.00000,32.00000,26.78571,72.22222,85.18519,65.15152,84.78261,100.00000
Centro-Oeste,Goiás,521440,Nazário,100.00000,100.00000,91.86047,100.00000,100.00000,73.58491,74.73684,93.68421,91.30435,100.00000,38.14433
Centro-Oeste,Goiás,521450,Nerópolis,99.14286,100.00000,100.00000,100.00000,100.00000,93.07692,96.71053,100.00000,88.47737,85.40434,87.77120
Centro-Oeste,Goiás,521460,Niquelândia,100.00000,93.66086,93.50238,100.00000,94.56929,68.51852,63.32046,71.42857,83.56808,84.81562,69.63124
Centro-Oeste,Goiás,521470,Nova América,75.00000,100.00000,100.00000,100.00000,100.00000,78.78788,100.00000,100.00000,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,521480,Nova Aurora,100.00000,100.00000,100.00000,83.33333,100.00000,79.16667,100.00000,100.00000,75.00000,36.00000,36.00000
Centro-Oeste,Goiás,521483,Nova Crixás,96.37306,69.94819,75.64767,79.88506,94.54545,70.34884,100.00000,91.02564,92.63804,100.00000,100.00000
Centro-Oeste,Goiás,521486,Nova Glória,100.00000,100.00000,100.00000,100.00000,100.00000,92.04545,100.00000,90.32258,75.51020,82.22222,60.00000
Centro-Oeste,Goiás,521487,Nova Iguaçu de Goiás,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,84.61538,100.00000,100.00000
Centro-Oeste,Goiás,521490,Nova Roma,92.10526,100.00000,73.68421,100.00000,70.96774,100.00000,100.00000,100.00000,70.83333,100.00000,67.56757
Centro-Oeste,Goiás,521500,Nova Veneza,95.55556,100.00000,90.00000,100.00000,100.00000,100.00000,89.32039,100.00000,84.53608,100.00000,81.25000
Centro-Oeste,Goiás,521520,Novo Brasil,96.66667,96.66667,86.66667,100.00000,91.66667,100.00000,93.87755,87.75510,88.46154,100.00000,100.00000
Centro-Oeste,Goiás,521523,Novo Gama,100.00000,100.00000,93.59721,87.52147,99.29162,100.00000,58.19315,70.09346,77.70360,71.94293,74.25272
Centro-Oeste,Goiás,521525,Novo Planalto,100.00000,70.17544,91.22807,100.00000,59.57447,17.94872,60.60606,48.48485,100.00000,57.37705,29.50820
Centro-Oeste,Goiás,521530,Orizona,100.00000,97.43590,100.00000,100.00000,77.57576,100.00000,91.81287,85.96491,62.43386,78.43137,75.98039
Centro-Oeste,Goiás,521540,Ouro Verde de Goiás,100.00000,100.00000,100.00000,100.00000,72.72727,78.00000,95.00000,86.66667,100.00000,76.47059,100.00000
Centro-Oeste,Goiás,521550,Ouvidor,100.00000,100.00000,95.31250,100.00000,100.00000,100.00000,97.05882,92.64706,91.78082,100.00000,100.00000
Centro-Oeste,Goiás,521560,Padre Bernardo,74.01961,100.00000,90.68627,100.00000,74.67700,88.42105,64.50893,83.92857,89.31818,70.25862,56.89655
Centro-Oeste,Goiás,521570,Palmeiras de Goiás,100.00000,94.50549,94.13919,100.00000,100.00000,18.96024,79.62466,86.32708,100.00000,91.58416,57.17822
Centro-Oeste,Goiás,521580,Palmelo,81.81818,100.00000,100.00000,100.00000,100.00000,95.00000,100.00000,100.00000,100.00000,100.00000,100.00000
