Estado,Região,CodMun,Município,Média Cob Vac,Média At Pr,Média Plano,IDHm,Média Var CobVac,Média Var At Pr,Média Var Plano
Goiás,Centro Oeste,521260,Mairipotaba,93.5482094,100.0000000,3.6034643,0.745,-0.0027679,0.0000000,0.0716073
Goiás,Centro Oeste,521270,Mambaí,97.7413299,98.4000000,1.1795953,0.626,0.0024903,0.0035111,0.0838248
Goiás,Centro Oeste,521280,Mara Rosa,92.2093931,81.1645455,3.2833478,0.691,0.0003286,0.2020020,0.0498653
Goiás,Centro Oeste,521290,Marzagão,96.2259006,100.0000000,8.6863867,0.699,-0.0158549,0.0000000,0.2038029
Goiás,Centro Oeste,521295,Matrinchã,89.4504130,100.0000000,1.4353349,0.679,0.0991070,0.0000000,0.0383109
Goiás,Centro Oeste,521300,Maurilândia,81.4622580,68.0863636,11.3531045,0.677,0.0320348,0.0764181,0.3103123
Goiás,Centro Oeste,521305,Mimoso de Goiás,99.5867769,100.0000000,1.4357673,0.665,0.0002165,0.0000000,0.0766031
Goiás,Centro Oeste,521308,Minaçu,83.9511214,71.4563636,11.5519696,0.707,-0.0067158,0.0701746,-0.0085922
Goiás,Centro Oeste,521310,Mineiros,87.6887026,77.7609091,29.0262311,0.718,-0.0306157,0.0864605,0.0062342
Goiás,Centro Oeste,521340,Moiporá,79.8313451,100.0000000,1.2761595,0.696,0.3263869,0.0000000,0.1932344
Goiás,Centro Oeste,521350,Monte Alegre de Goiás,75.9626391,85.7409091,0.7631354,0.615,0.0108977,0.0866557,0.1257202
Goiás,Centro Oeste,521370,Montes Claros de Goiás,94.9906387,100.0000000,2.3084114,0.707,-0.0211942,0.0000000,0.0683520
Goiás,Centro Oeste,521375,Montividiu,93.9589282,83.5018182,10.0904153,0.733,-0.0149269,-0.0091804,0.0433570
Goiás,Centro Oeste,521377,Montividiu do Norte,91.2508669,100.0000000,0.6595877,0.613,-0.0113008,0.0000000,0.0874802
